,Lectures,Lecture Links,Video
38,Factor Analysis with Alphalens,https://www.quantopian.com/lectures/factor-analysis-with-alphalens,https://www.youtube.com/watch?v=v5IYcBxMDYE
39,Why You Should Hedge Beta and Sector Exposures (Part I),https://www.quantopian.com/lectures/why-you-should-hedge-beta-and-sector-exposures-part-i,Exercise
40,Why You Should Hedge Beta and Sector Exposures (Part II),https://www.quantopian.com/lectures/why-you-should-hedge-beta-and-sector-exposures-part-ii,Exercise
41,VaR and CVaR,https://www.quantopian.com/lectures/var-and-cvar,Exercise
42,"Integration, Cointegration, and Stationarity",https://www.quantopian.com/lectures/integration-cointegration-and-stationarity,https://www.youtube.com/watch?v=Pn_RiDbK82M
43,Introduction to Pairs Trading,https://www.quantopian.com/lectures/introduction-to-pairs-trading,https://www.youtube.com/watch?v=JTucMRYMOyY
44,Example: Basic Pairs Trading Algorithm,https://www.quantopian.com/lectures/example-basic-pairs-trading-algorithm,Exercise
45,Example: Pairs Trading Algorithm,https://www.quantopian.com/lectures/example-pairs-trading-algorithm,Exercise
46,Autocorrelation and AR Models,https://www.quantopian.com/lectures/autocorrelation-and-ar-models,https://www.youtube.com/watch?v=fnrSZvla51Y
47,"ARCH, GARCH, and GMM",https://www.quantopian.com/lectures/arch-garch-and-gmm,Exercise
48,Kalman Filters,https://www.quantopian.com/lectures/kalman-filters,https://www.youtube.com/watch?v=RxIdLu18SsE
49,Example: Kalman Filter Pairs Trade,https://www.quantopian.com/lectures/example-kalman-filter-pairs-trade,Exercise
50,Introduction to Futures,https://www.quantopian.com/lectures/introduction-to-futures,Exercise
51,Futures Trading Considerations,https://www.quantopian.com/lectures/futures-trading-considerations,Exercise
52,Mean Reversion on Futures,https://www.quantopian.com/lectures/mean-reversion-on-futures,Exercise
53,Example: Pairs Trading on Futures,https://www.quantopian.com/lectures/example-pairs-trading-on-futures,Exercise
54,Case Study: Traditional Value Factor,https://www.quantopian.com/lectures/case-study-traditional-value-factor,Exercise
55,Case Study: Comparing ETFs,https://www.quantopian.com/lectures/case-study-comparing-etfs,Exercise
